"ID Value","ID Type","Is FBA?","Listing Price","Listing Price Currency Code","Shipping Price","Shipping Price Currency Code","Total Fees","Total Fees Currency Code"
B08B54RSJ7,ASIN,1,119.99,USD,0,USD,22.32,USD
B08KGY9JP7,ASIN,1,119.99,USD,0,USD,22.32,USD
B08LMC6LGT,ASIN,1,119.99,USD,0,USD,22.08,USD
B00B2VJS2W,ASIN,1,119.99,USD,0,USD,24,USD
B08B54YGGR,ASIN,1,119.99,USD,0,USD,22.32,USD
B08H4K6CDM,ASIN,1,119,USD,0,USD,22.17,USD
B08D7WMZMS,ASIN,1,119.99,USD,0,USD,22.32,USD
B00B2VJVFG,ASIN,1,119.99,USD,0,USD,24,USD
B00KX5A7NW,ASIN,,154.99,USD,0,USD,23.25,USD
B01CSJ866K,ASIN,,184.99,USD,0,USD,27.75,USD
B01KYXT4OU,ASIN,,34.95,USD,0,USD,5.24,USD
B08B42PYGR,ASIN,1,99.99,USD,0,USD,19.08,USD
B08B44MMD5,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B44314P,ASIN,1,99.99,USD,0,USD,19.32,USD
B08B463VRX,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B43JVTS,ASIN,1,99.99,USD,0,USD,19.08,USD
B08B43PCH8,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B45CQ8W,ASIN,1,99.99,USD,0,USD,19.08,USD
B08B43Z23K,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B42VGD4,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B45VVMX,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B44MYZZ,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B43DT46,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B43LRJ4,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B44K7Z1,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B43PJ6F,ASIN,1,99.99,USD,0,USD,18.86,USD
B08B44HTYS,ASIN,1,129.99,USD,0,USD,23.36,USD
B08B448B2D,ASIN,1,129.99,USD,0,USD,23.36,USD
B08B42QM65,ASIN,1,129.99,USD,0,USD,23.58,USD
B08B4321QB,ASIN,1,129.99,USD,0,USD,23.58,USD
B08B44C6JS,ASIN,1,129.99,USD,0,USD,23.36,USD
B0B2K9Y7WH,ASIN,1,99.99,USD,0,USD,19.75,USD
B09XJ7MD6D,ASIN,1,69.99,USD,0,USD,14.36,USD
B09XJ8MQN6,ASIN,1,69.99,USD,0,USD,14.36,USD
B09XJ8YZD8,ASIN,1,69.99,USD,0,USD,14.36,USD
B09XJ8239C,ASIN,1,69.99,USD,0,USD,14.58,USD
B09XJ7ZGJD,ASIN,1,69.99,USD,0,USD,14.58,USD
B09XJ9BH14,ASIN,1,69.99,USD,0,USD,14.58,USD
B09XJ8TNVB,ASIN,1,69.99,USD,0,USD,14.36,USD
B09XJ84JZR,ASIN,1,69.99,USD,0,USD,14.36,USD
B0B8481H3K,ASIN,1,69.99,USD,0,USD,15.25,USD
B08WRNXXGR,ASIN,,189,USD,0,USD,28.35,USD
B08WRQY2SL,ASIN,,199.93,USD,0,USD,29.99,USD
B075QMFJ4Z,ASIN,,19.99,USD,0,USD,3,USD
B075QNQ6G7,ASIN,,18.99,USD,0,USD,2.85,USD
B075QN567J,ASIN,,19.99,USD,0,USD,3,USD
B003RX6EAC,ASIN,,56.99,USD,9.99,USD,10.05,USD
