(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B003RX6EAC,B003RX6EAC,Hobie Drift Chute,72020009,92,4,0.03%,0.07%,126,6,0.03%,0.08%,11.90%,0.00%,1,0,1.09%,0.00%,$50.99,$0.00,1,0
B08CY6F6Z5,B0043HQUNC,"Shimano Trinidad Conventional Reels, TN12A",TN12A,783,9,0.26%,0.16%,892,10,0.22%,0.13%,4.34%,0.00%,1,0,0.13%,0.00%,$499.00,$0.00,1,0
B07DCF1M2Q,B0044ZSZOU,THUNNUS CI4,TU8000CI4,625,5,0.21%,0.09%,703,5,0.17%,0.06%,4.70%,0.00%,1,0,0.16%,0.00%,$309.99,$0.00,1,0
B004E5DOU0,B004E5DOU0,Tsunami Airwave 8 Surf Fishing Rod Med Hvy TSAWSS-802MH,TSAWSS-802MH,763,13,0.26%,0.24%,"1,033",15,0.25%,0.19%,11.81%,0.00%,1,0,0.13%,0.00%,$119.99,$0.00,1,0
B0068G4876,B0068G4876,Challenge 50252 Bait Bucket,50252,11,0,0.00%,0.00%,12,0,0.00%,0.00%,8.33%,0.00%,1,0,9.09%,0.00%,$11.99,$0.00,1,0
B0BJ7L78VJ,B007NLQ5RG,"Temple Fork: Signature Series Fly Rod, TF 04 80-2 S",TF 04 80 2 S2,106,3,0.04%,0.05%,123,3,0.03%,0.04%,27.54%,100.00%,1,0,0.94%,0.00%,$159.99,$0.00,1,0
B0BJ7L78VJ,B007NLQIF0,"9 wt. 9'0"" 2 pc. Signature 2 Rod",TF 09 90 2 S2,114,0,0.04%,0.00%,161,0,0.04%,0.00%,48.08%,0.00%,1,0,0.88%,0.00%,$169.95,$0.00,1,0
B08NK865HS,B0094K2YO2,"YakAttack GT90 GearTrac, 12"" Aluminum Kayak Mount Track",GT90-12,690,14,0.23%,0.25%,932,14,0.23%,0.18%,2.48%,0.00%,1,0,0.14%,0.00%,$24.95,$0.00,1,0
B0099GJHGE,B0099GJHGE,YakGear TPC1 Taco Paddle Clip Kit,TPC1,29,0,0.01%,0.00%,30,0,0.01%,0.00%,53.33%,0.00%,1,0,3.45%,0.00%,$13.99,$0.00,1,0
B07KSTGLPK,B00B2VJECG,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Bronze, 4/5",5-5506R45Z,584,17,0.20%,0.31%,666,18,0.16%,0.23%,5.80%,0.00%,1,0,0.17%,0.00%,$129.99,$0.00,1,0
B07KSTGLPK,B00B2VJHZ0,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Bronze, 5/6",5-5506R56Z,369,11,0.12%,0.20%,417,11,0.10%,0.14%,14.24%,75.00%,1,0,0.27%,0.00%,$129.98,$0.00,1,0
B07KSVM3LJ,B00B2VJJBC,"Redington Zero Fly Fishing Reel, Lightweight Design for Trout, Clicker Drag System, Burgundy, 4/5",5-5507R45G,614,10,0.21%,0.18%,722,12,0.17%,0.16%,8.19%,20.00%,1,0,0.16%,0.00%,$109.99,$0.00,1,0
B07KSTGLPK,B00B2WMOA4,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Bronze, 9/10",5-5506R910Z,302,3,0.10%,0.05%,360,3,0.09%,0.04%,9.31%,50.00%,1,0,0.33%,0.00%,$149.98,$0.00,1,0
B00ED386RE,B00ED386RE,Tsunami Airwave Elite Surf Spinning Rod TSAWESS-962M,TSAWESS-962M,237,1,0.08%,0.02%,301,1,0.07%,0.01%,41.53%,0.00%,1,0,0.42%,0.00%,$199.94,$0.00,1,0
B00PCP75ZG,B00PCP75ZG,"Shimano Tiralejo 2-Piece Surf Spinning Fishing Rod, 9'6""ft, Action: Moderate Fast (TRS96MA)",TRS96MA-WET,693,14,0.23%,0.25%,"1,004",18,0.24%,0.23%,0.00%,0.00%,1,0,0.14%,0.00%,$199.99,$0.00,1,0
B00SQ0FUOC,B00SQ0FUOC,Hobie H-Crate,72020088,593,8,0.20%,0.14%,776,13,0.19%,0.17%,0.00%,0.00%,1,0,0.17%,0.00%,$179.00,$0.00,1,0
B07KSTGLPK,B013VO85LC,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Gunmetal, 9/10",5-5506R910G,421,7,0.14%,0.13%,531,8,0.13%,0.10%,9.98%,0.00%,1,0,0.24%,0.00%,$149.99,$0.00,1,0
B07KSTGLPK,B013VO894U,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Black, 5/6",5-5506R56B,666,14,0.22%,0.25%,814,15,0.20%,0.19%,12.71%,42.86%,1,0,0.15%,0.00%,$114.99,$0.00,1,0
B07KSTGLPK,B013VO8KU8,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Gunmetal, 5/6",5-5506R56G,466,13,0.16%,0.24%,539,13,0.13%,0.17%,4.56%,12.50%,1,0,0.21%,0.00%,$129.98,$0.00,1,0
B07KSTGLPK,B013VO8SRS,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Gunmetal, 11/12",5-5506R1112G,281,4,0.09%,0.07%,338,5,0.08%,0.06%,7.19%,33.33%,1,0,0.36%,0.00%,$149.99,$0.00,1,0
B0186EUT8E,B0186EUT8E,"RAILBLAZA Carry, Wash, Store Bag",02-4068-81,11,0,0.00%,0.00%,15,0,0.00%,0.00%,80.00%,0.00%,1,0,9.09%,0.00%,$15.99,$0.00,1,0
B018REHMI8,B018REHMI8,Railblaza CLEATPORT (BLACK),03-4044-11,17,0,0.01%,0.00%,19,0,0.00%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,$17.99,$0.00,1,0
B019KXLKCO,B019KXLKCO,Van Staal VR200 Bailed Spinning Reel,VR200,425,7,0.14%,0.13%,554,7,0.13%,0.09%,33.57%,57.14%,1,0,0.24%,0.00%,$619.94,$0.00,1,0
B01A02EZTY,B01A02EZTY,Van Staal VR125 Bailed Spinning Reel,VR125,326,8,0.11%,0.14%,437,11,0.11%,0.14%,34.78%,81.82%,1,0,0.31%,0.00%,$529.00,$0.00,1,0
B01AKF9COE,B01AKF9COE,Tsunami Airwave 10' Surf Rod Med Hvy TSAWSS-1002MH New by Tsunami,TSAWSS-1002MH,219,2,0.07%,0.04%,326,3,0.08%,0.04%,93.25%,100.00%,1,0,0.46%,0.00%,$154.94,$0.00,1,0
B01DUXTEEQ,B01DUXTEEQ,"Maxel Hybrid Conventional Star Drag Jigging jig Reel HY20L-SG, LH, Silver",HY-20L-SG,61,3,0.02%,0.05%,76,5,0.02%,0.06%,59.21%,100.00%,1,0,1.64%,0.00%,$364.99,$0.00,1,0
B07X8QQCD2,B01FVBUTNU,Boonedox Native Propel Rudder Blade Upgrade Orange,BDX-RDRO,34,0,0.01%,0.00%,49,0,0.01%,0.00%,91.84%,0.00%,1,0,2.94%,0.00%,$94.95,$0.00,1,0
B0CZSDQ797,B01N1VBQCL,Tsunami Shield 5000 Saltwater Sealed Spinning Reel,TSSHD5000,106,1,0.04%,0.02%,158,1,0.04%,0.01%,65.56%,100.00%,1,0,0.94%,0.00%,$109.99,$0.00,1,0
B01N5UTLD5,B01N5UTLD5,TFO Temple Fork Outfitters Linekurv Stripping Basket,SP LSB,69,5,0.02%,0.09%,118,11,0.03%,0.14%,1.69%,0.00%,1,0,1.45%,0.00%,$99.95,$0.00,1,0
B0CZSDQ797,B01N9KLQX8,Tsunami Shield 3000 Saltwater Sealed Spinning Reel,TSSHD3000-SF,183,1,0.06%,0.02%,224,1,0.05%,0.01%,35.78%,0.00%,1,0,0.55%,0.00%,$99.99,$0.00,1,0
B01NA7H9AI,B01NA7H9AI,Hobie Fold And Stow Kayak Cart - 80047001,80047001,137,4,0.05%,0.07%,164,6,0.04%,0.08%,20.12%,16.67%,2,0,1.46%,0.00%,$510.00,$0.00,1,0
B01N1PDNW8,B01NCJ0G8S,Cortland Precision Tropic Plus All Purpose Taper Fly Line (WF11F),474949,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$99.95,$0.00,1,0
B01N1PDNW8,B01NCJ6ID6,Cortland Precision Tropic Plus All Purpose Taper Fly Line (WF10F),474932,11,0,0.00%,0.00%,12,0,0.00%,0.00%,90.91%,0.00%,1,0,9.09%,0.00%,$99.94,$0.00,1,0
B07117DNV5,B07117DNV5,"NRS Neko Blunt Knife, Green",47310.01.101,88,0,0.03%,0.00%,126,0,0.03%,0.00%,98.41%,0.00%,1,0,1.14%,0.00%,$39.95,$0.00,1,0
B071GLHWRT,B071GLHWRT,YakAttack GTTL90 GearTrac 4in Top Loading Aluminum Track,GTTL90-04,787,15,0.26%,0.27%,"1,143",18,0.28%,0.23%,0.09%,0.00%,2,0,0.25%,0.00%,$29.90,$0.00,1,0
B07572QC2Q,B07572QC2Q,Hobie H-Crate JR for kayak fishing 72020298,72020298,192,4,0.06%,0.07%,275,6,0.07%,0.08%,30.91%,0.00%,1,0,0.52%,0.00%,$169.00,$0.00,1,0
B0BJ7DZL5X,B0757D281L,"Temple Fork Outfitters Fast Action Freshwater Saltwater High Performance Cork Handle 4 Pieces 9'0"" Axiom II Fly Fishing Rod with Case, 9 wt. 9'0""",TF 09 90 4 A2,32,2,0.01%,0.04%,48,2,0.01%,0.03%,97.73%,100.00%,1,0,3.13%,0.00%,$247.59,$0.00,1,0
B0BJ7DZL5X,B0757DJ3BL,"Temple Fork Outfitters Fast Action Freshwater Saltwater High Performance Cork Handle 4 Pieces 9'0"" Axiom II Fly Fishing Rod with Case, 10 wt. 9'0""",TF 10 90 4 A2,37,0,0.01%,0.00%,48,0,0.01%,0.00%,21.21%,0.00%,1,0,2.70%,0.00%,$339.95,$0.00,1,0
B07857PLTD,B076G3CQKH,"Backwater 06-0016 Assassin Full Paddle Carbon Hybrid - 90.5"" to 94.5"" Length, Black",06-0016,376,3,0.13%,0.05%,543,6,0.13%,0.08%,12.89%,0.00%,1,0,0.27%,0.00%,$159.99,$0.00,1,0
B0773PTJPN,B0773PTJPN,*Seaborg Fishing Reel,SB1200MJ,"3,119",64,1.05%,1.16%,"3,739",90,0.90%,1.16%,2.54%,6.67%,1,0,0.03%,0.00%,"$1,699.00",$0.00,1,0
B077H37XZK,B077H37XZK,Shimano Inc. TIRALEJO SURF SPN 100 MH 2 PC,TRS100MHA-WET,257,1,0.09%,0.02%,315,1,0.08%,0.01%,0.00%,0.00%,1,0,0.39%,0.00%,$199.99,$0.00,1,0
B079V8GK5X,B079V3BP91,Cortland Competition Fast Intermediate Fly Line (WF7/8FI),466784,31,0,0.01%,0.00%,37,0,0.01%,0.00%,97.30%,0.00%,1,0,3.23%,0.00%,$65.95,$0.00,1,0
B01N1PDNW8,B079VNSRSD,Cortland Precision Tropic Plus All Purpose Taper Fly Line (WF7F),475540,14,0,0.00%,0.00%,18,0,0.00%,0.00%,72.73%,0.00%,1,0,7.14%,0.00%,$99.94,$0.00,1,0
B07KSTGLPK,B07BSR399V,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Black. 4/5",5-5506R45B,394,9,0.13%,0.16%,450,9,0.11%,0.12%,9.09%,42.86%,1,0,0.25%,0.00%,$129.99,$0.00,1,0
B08NBF3FPQ,B07F2JR6B5,"Old Town Solitude Women's Life Jacket (Grape, XS)",01.1332.9016,83,1,0.03%,0.02%,132,2,0.03%,0.03%,100.00%,100.00%,1,0,1.20%,0.00%,$110.99,$0.00,1,0
B08N9KSDVW,B07FJLDMS6,"Old Town Solitude Women's Life Jacket (Silver, L/XL)",01.1332.9021-FBM,7,0,0.00%,0.00%,13,0,0.00%,0.00%,91.67%,0.00%,1,0,14.29%,0.00%,$102.28,$0.00,1,0
B07FZ9XV2J,B07FYFW8Y3,Redington Grande 7/8/9 Fly Reel - Black,5-5509R78901,298,10,0.10%,0.18%,368,13,0.09%,0.17%,21.22%,55.56%,1,0,0.34%,0.00%,$329.99,$0.00,1,0
B07FZ9XV2J,B07FYHP8Y2,Redington Grande 9/10/11 Fly Reel - Champagne,5-5509R9102102,196,2,0.07%,0.04%,251,2,0.06%,0.03%,7.84%,100.00%,1,0,0.51%,0.00%,$379.98,$0.00,1,0
B07KSTGLPK,B07FYHP8Y8,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, O.D. Green, 9/10",5-5506R910R,328,6,0.11%,0.11%,381,7,0.09%,0.09%,10.79%,100.00%,1,0,0.30%,0.00%,$149.99,$0.00,1,0
B07FZ9XV2J,B07FYHTCFM,Redington Grande 9/10/11 Fly Reel - Black,5-5509R9101101,124,1,0.04%,0.02%,143,3,0.03%,0.04%,3.70%,100.00%,1,0,0.81%,0.00%,$364.99,$0.00,1,0
B07FZ9XV2J,B07FYHTDFQ,Redington Grande 7/8/9 Fly Reel - Champagne,5-5509R78902,531,14,0.18%,0.25%,670,19,0.16%,0.25%,8.32%,43.75%,1,0,0.19%,0.00%,$329.99,$0.00,1,0
B07KSTGLPK,B07FYNQKXL,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, O.D. Green, 11/12",5-5506R1112R,146,1,0.05%,0.02%,172,1,0.04%,0.01%,19.70%,0.00%,1,0,0.68%,0.00%,$149.99,$0.00,1,0
B07FZ9XV2J,B07FYR1763,Redington Grande 14+ Fly Reel - Black,5-5509R1401,109,2,0.04%,0.04%,137,2,0.03%,0.03%,10.00%,0.00%,1,0,0.92%,0.00%,$379.98,$0.00,1,0
B07KSTGLPK,B07FYR2QXP,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, O.D. Green, 4/5",5-5506R45R,662,17,0.22%,0.31%,764,18,0.18%,0.23%,9.24%,50.00%,1,0,0.15%,0.00%,$126.03,$0.00,1,0
B07FZ9XV2J,B07FYS5385,Redington Grande 14+ Fly Reel - Marine,5-5509R1403,127,5,0.04%,0.09%,179,6,0.04%,0.08%,4.40%,20.00%,1,0,0.79%,0.00%,$379.99,$0.00,1,0
B07KSTGLPK,B07FYWY9DP,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, O.D. Green, 5/6",5-5506R56R,505,10,0.17%,0.18%,599,10,0.14%,0.13%,2.56%,0.00%,1,0,0.20%,0.00%,$129.98,$0.00,1,0
B07H1DZLPD,B07H1DZLPD,Daiwa Rod-Harrier Jigging Series,HRJ64HB,116,0,0.04%,0.00%,163,0,0.04%,0.00%,39.26%,0.00%,1,0,0.86%,0.00%,$99.78,$0.00,1,0
B07H1N96P7,B07H1N96P7,Daiwa Rod-Harrier Jigging Series,HRJ64MHB,120,1,0.04%,0.02%,157,2,0.04%,0.03%,99.36%,100.00%,1,0,0.83%,0.00%,$99.99,$0.00,1,0
B07JX9DKS3,B07J21H64T,"Lamiglas - Black B7030C | 7' 1 PC. Black Inshore Saltwater Fishing Rod, Medium/Heavy Power, Inshore Saltwater Casting Rod",B7030C,281,15,0.09%,0.27%,394,27,0.10%,0.35%,95.55%,100.00%,1,0,0.36%,0.00%,$169.99,$0.00,1,0
B07J9PP131,B07J9PP131,"YakAttack MightyMount II, Includes Mounting Hardware",MMH2,100,0,0.03%,0.00%,119,0,0.03%,0.00%,0.00%,0.00%,1,0,1.00%,0.00%,$11.95,$0.00,1,0
B07LFJQDQM,B07LFJQDQM,Accurate Valiant 500 Series Conventional Reel,BV-500L-SBL,135,3,0.05%,0.05%,194,5,0.05%,0.06%,95.36%,100.00%,1,0,0.74%,0.00%,$499.95,$0.00,1,0
B07N8HBSQK,B07N8HBSQK,Tsunami Trophy Spinning Surf Rods Series II 11' Extra Heavy,TSTIISS-1102XH,189,2,0.06%,0.04%,258,3,0.06%,0.04%,47.29%,100.00%,2,0,1.06%,0.00%,$279.90,$0.00,1,0
B07QGDNB3Y,B07QGDNB3Y,Tsunami Carbon Shield II TSCSHDII701MH Spinning Rod,TSCSHDII701MH,414,5,0.14%,0.09%,567,6,0.14%,0.08%,25.22%,33.33%,1,0,0.24%,0.00%,$119.94,$0.00,1,0
B07R9ZBY3L,B07R9ZBY3L,"RAILBLAZA Universal Fish Finder Mount, R Lock Rectangular Base for Kayak and Canoe Fishing Boats, Compatible with Garmin, Lowrance, Humminbird and More",02-4141-11,622,8,0.21%,0.14%,944,17,0.23%,0.22%,0.64%,0.00%,1,0,0.16%,0.00%,$39.99,$0.00,1,0
B07SBGN7X5,B07SBGN7X5,G. Loomis IMX-PRO 844S MF,IMX-PRO 844S MF,60,1,0.02%,0.02%,75,1,0.02%,0.01%,78.67%,100.00%,1,0,1.67%,0.00%,$420.00,$0.00,1,0
B07SHTT11Y,B07SHTT11Y,Hobie Fish Bag Cooler XL,72020118,85,5,0.03%,0.09%,110,5,0.03%,0.06%,21.82%,20.00%,1,0,1.18%,0.00%,$318.00,$0.00,1,0
B07SHTT1M4,B07SHTT1M4,Hobie Cradle Set Outback 2019,72020427,92,2,0.03%,0.04%,128,4,0.03%,0.05%,29.69%,0.00%,1,0,1.09%,0.00%,$310.00,$0.00,1,0
B07WHDS4Y7,B07WHDS4Y7,"Kayak Rectangular Hobie Twist N Seal Hatch Kit #71707003 Hatch, Gasket, Hardware",71707003,17,0,0.01%,0.00%,22,0,0.01%,0.00%,31.82%,0.00%,1,0,5.88%,0.00%,$169.00,$0.00,1,0
B07YXF5WG1,B07WK44ZXD,Shimano Inc. Stella SW 8000HG,STLSW8000HGC,"1,716",37,0.58%,0.67%,"2,192",46,0.53%,0.60%,2.60%,2.17%,1,0,0.06%,0.00%,"$1,099.99",$0.00,1,0
B08FYQYWWM,B07WSS9FNZ,Shimano Inc. Terez SPN 72 H,TZS72H,325,0,0.11%,0.00%,400,0,0.10%,0.00%,1.83%,0.00%,1,0,0.31%,0.00%,$299.98,$0.00,1,0
B0CFRKR3YR,B07WVFCZD7,Waterworks-Lamson Remix Fly Fishing Reel,RX-9+REEL-SMOKE,526,12,0.18%,0.22%,712,20,0.17%,0.26%,33.75%,50.00%,1,0,0.19%,0.00%,$239.99,$0.00,1,0
B0B2ZRWC44,B07WVZZFNP,Terez SPN 69 H,TZS69H,466,1,0.16%,0.02%,574,1,0.14%,0.01%,6.97%,0.00%,1,0,0.21%,0.00%,$299.99,$0.00,1,0
B07WW7TZ14,B07WW7TZ14,Grappler Type SLW J 68 M CST,GRPSJC68M,406,5,0.14%,0.09%,496,6,0.12%,0.08%,21.37%,66.67%,1,0,0.25%,0.00%,$289.98,$0.00,1,0
B084L4X7BK,B07X13BV65,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Silver Green Mackerel",MADMACS200-SGM-MFN,564,15,0.19%,0.27%,646,19,0.16%,0.25%,70.69%,75.00%,1,0,0.18%,0.00%,$43.44,$0.00,1,0
B084L4X7BK,B07X13DBY6,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Nuclear Coral Trout",MADMACS240-NCT-WET,376,9,0.13%,0.16%,430,10,0.10%,0.13%,41.04%,40.00%,1,0,0.27%,0.00%,$49.95,$0.00,1,0
B084L4X7BK,B07X13DBY6,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Nuclear Coral Trout",MADMACS240-NCT,376,9,0.13%,0.16%,430,10,0.10%,0.13%,41.04%,40.00%,1,0,0.27%,0.00%,$59.44,$0.00,1,0
B084L4X7BK,B07X2781D3,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Phantom",MADMACS200-PHT-FBA,659,14,0.22%,0.25%,832,15,0.20%,0.19%,15.01%,20.00%,1,0,0.15%,0.00%,$49.99,$0.00,1,0
B07X49ZYBL,B07X49ZYBL,"Nomad Design Madmacs - 200mm/8 Sinking High Speed - BKK Hooks - Trolling, Minnow, Pink Mackerel",MADMACS200-PM-MFN,4,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$49.99,$0.00,1,0
B08FYRZCMD,B07X6JD79G,Shimano Inc. Terez CST 70 MH,TZC70MH,253,2,0.08%,0.04%,322,2,0.08%,0.03%,8.89%,100.00%,1,0,0.40%,0.00%,$299.99,$0.00,1,0
B09RKQGKJM,B07XCZMNHC,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Gold Glow",DTX220-S-GG,48,2,0.02%,0.04%,57,4,0.01%,0.05%,33.33%,0.00%,1,0,2.08%,0.00%,$49.94,$0.00,1,0
B08CY6JMDW,B07XKC414M,Shimano Inc. Stella SW 14000XG,STLSW14000XGC,"2,190",50,0.74%,0.90%,"2,650",68,0.64%,0.88%,3.17%,3.70%,1,0,0.05%,0.00%,"$1,099.98",$0.00,1,0
B08FYRZCMD,B07XKWK28S,Shimano Inc. Terez CST 66H,TZC66H,527,1,0.18%,0.02%,618,1,0.15%,0.01%,3.97%,0.00%,1,0,0.19%,0.00%,$299.98,$0.00,1,0
B07YCSGJ7N,B07YCS24LV,"Waterworks-Lamson Guru S Fly Fishing Spool, 9+(8-10 Wt. Lines), Arctic",GS-9+SPOOL-ARCTIC,5,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$189.99,$0.00,1,0
B07YCSGJ7N,B07YCSSTFP,"Waterworks-Lamson Guru S Fly Fishing Spool 7+(6-8 Wt. Lines), Arctic",GS-7+SPOOL-ARCTIC,25,0,0.01%,0.00%,30,0,0.01%,0.00%,0.00%,0.00%,1,0,4.00%,0.00%,$179.99,$0.00,1,0
B07YCTG53Y,B07YCTG53Y,"Trout Series - Long Belly Distance Fly Line (Orange/White, WF7F)",476059,15,1,0.01%,0.02%,19,1,0.00%,0.01%,94.74%,100.00%,1,0,6.67%,0.00%,$89.95,$0.00,1,0
B07YYNB94J,B07YYNB94J,"RAILBLAZA StowPod Cup Holder Storage Caddy for Boats, Perfect for Holding Beverages, Tumblers, Phones, Binoculars and More",02-4040-11,"1,177",30,0.40%,0.54%,"1,643",47,0.40%,0.61%,0.00%,0.00%,1,0,0.08%,0.00%,$27.00,$0.00,1,0
B07ZS1HQ15,B07ZS1HQ15,Hobie H-Rail Mini Bin with Built-in Retractor,84623004,10,1,0.00%,0.02%,15,1,0.00%,0.01%,26.67%,100.00%,1,0,10.00%,0.00%,$57.99,$0.00,1,0
B081S8J4YT,B081S8J4YT,Tsunami Salt X Surf TSSTXSS962M Spinning Rod,TSSTXSS962M,231,5,0.08%,0.09%,326,6,0.08%,0.08%,49.69%,33.33%,1,0,0.43%,0.00%,$199.94,$0.00,1,0
B081TJCNPQ,B081TJCNPQ,Tsunami Carbon Shield II TSCSHDII701MH-B Spinning Rod,TSCSHDII701MH-B,167,4,0.06%,0.07%,224,4,0.05%,0.05%,42.41%,75.00%,1,0,0.60%,0.00%,$119.94,$0.00,1,0
B0CMD6CW7K,B0831T144L,"10 wt. 9'0"" 4 pc. Axiom 2-X Rod",TF 10 90 4 A2-X,54,0,0.02%,0.00%,64,0,0.02%,0.00%,29.17%,0.00%,1,0,1.85%,0.00%,$429.95,$0.00,1,0
B0CMD6CW7K,B0831TN4ZD,"11 wt. 9'0"" 4 pc. Axiom 2-X Rod",TF 11 90 4 A2-X,21,0,0.01%,0.00%,24,0,0.01%,0.00%,71.43%,0.00%,1,0,4.76%,0.00%,$429.95,$0.00,1,0
B0831V38LQ,B0831V38LQ,"Axiom 2-X Rod w/Case, 12 wt. 9'0"" 4 pc.",TF 12 90 4 A2-X,46,1,0.02%,0.02%,55,1,0.01%,0.01%,50.91%,100.00%,1,0,2.17%,0.00%,$429.99,$0.00,1,0
B0839LSX39,B0839LSX39,Van Staal VR50 Spinning Reel Black - VR50B,VR50B,734,16,0.25%,0.29%,984,25,0.24%,0.32%,6.10%,44.00%,1,0,0.14%,0.00%,$519.94,$0.00,1,0
B083FVPS6L,B083FVPS6L,YakAttack PanFish Pro™ Camera Mount (CMS-1002),CMS-1002-U,"2,306",47,0.77%,0.85%,"6,055",142,1.46%,1.84%,0.00%,0.00%,1,0,0.04%,0.00%,$74.95,$0.00,1,0
B084HNWX7X,B084HNWX7X,Tsunami Carbon Shield II Boat Spinning Rod TSCSHDBSII701H-B,TSCSHDBSII701M-B,21,4,0.01%,0.07%,25,5,0.01%,0.06%,92.00%,60.00%,2,0,9.52%,0.00%,$339.98,$0.00,1,0
B084LMSJXZ,B084KGJ5K3,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm -Sunrise",01.2509.4030-FBA,117,1,0.04%,0.02%,168,1,0.04%,0.01%,66.12%,0.00%,1,0,0.85%,0.00%,$89.98,$0.00,1,0
B084LM6MRV,B084KGJJG2,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Camo",01.2509.4071-FBM,270,4,0.09%,0.07%,330,4,0.08%,0.05%,0.00%,0.00%,1,0,0.37%,0.00%,$144.99,$0.00,1,0
B084LMGV9P,B084KLMK47,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 220cm - Photic",01.2509.3935-FBA,153,1,0.05%,0.02%,197,1,0.05%,0.01%,82.05%,0.00%,1,0,0.65%,0.00%,$124.98,$0.00,1,0
B084LMGV9P,B084KLYC6B,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Ahi",01.2509.3922-FBM,229,6,0.08%,0.11%,277,7,0.07%,0.09%,40.44%,16.67%,4,4,1.75%,66.67%,$499.92,$499.92,1,1
B084LMGV9P,B084KNXH5H,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 220cm - Ahi",01.2509.3920-FBA,226,2,0.08%,0.04%,280,2,0.07%,0.03%,85.44%,100.00%,1,0,0.44%,0.00%,$124.99,$0.00,1,0
B084LMSJXZ,B084KQFSXR,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Black Cherry",01.2509.4031,74,2,0.02%,0.04%,99,3,0.02%,0.04%,75.38%,0.00%,1,0,1.35%,0.00%,$95.78,$0.00,1,0
B084LM6MRV,B084KQFSYM,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 260cm - Camo",01.2509.4073-FBM,335,3,0.11%,0.05%,426,3,0.10%,0.04%,48.18%,100.00%,1,0,0.30%,0.00%,$144.98,$0.00,1,0
