(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B08B2TNS7S,B08B44314P,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Moss/Gold, 90ft, WF5F",6-19232,649,10,0.22%,0.18%,809,17,0.20%,0.22%,12.50%,0.00%,12,0,1.85%,0.00%,"$1,155.74",$0.00,11,0
B08DJ8F6X3,B08DJ8HDQP,Shimano Inc. VANFORD C3000XG F,VFC3000XGF,956,18,0.32%,0.33%,"1,185",20,0.29%,0.26%,32.22%,52.63%,11,0,1.15%,0.00%,"$2,859.81",$0.00,11,0
B005CSYT6G,B001443EHW,"Shimano TLD 50 II LRS A 2 Speed Trolling Multiplier Offshore Fishing Reel, TLD50IILRSA",TLD50IILRSA,"2,722",70,0.91%,1.27%,"3,418",92,0.83%,1.19%,19.93%,33.33%,13,0,0.48%,0.00%,"$5,719.77",$0.00,10,0
B008NDY2WI,B008NDY2WI,Tsunami Airwave 11' Surf Rod Heavy Action TSAWSS-1102H,TSAWSS-1102H,848,10,0.28%,0.18%,"1,172",14,0.28%,0.18%,54.27%,57.14%,11,0,1.30%,0.00%,"$1,599.50",$0.00,10,0
B01N1VBQCL,B01N1VBQCL,Tsunami Shield 5000 Saltwater Sealed Spinning Reel,TSSHD5000,561,7,0.19%,0.13%,842,9,0.20%,0.12%,35.39%,44.44%,11,0,1.96%,0.00%,"$1,209.89",$0.00,10,0
B071X4PKQZ,B071X4PKQZ,"YakAttack VISIFlag, 52"" Tall mast with Flag, Includes MightyMount and Hardware",VFP-1001+MMH,"1,440",19,0.48%,0.34%,"1,886",22,0.46%,0.28%,10.82%,13.64%,10,1,0.69%,5.26%,$399.50,$39.95,10,1
B084LM6MRV,B084KV6QBD,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - First Light",01.2509.4076-FBA,487,5,0.16%,0.09%,655,6,0.16%,0.08%,93.13%,100.00%,10,0,2.05%,0.00%,"$1,142.39",$0.00,10,0
B08RYXYF7M,B08RYXYF7M,"Kayak Hobie Ram Ball H-Rail 1.5"" Ball",84620151,54,0,0.02%,0.00%,81,0,0.02%,0.00%,87.65%,0.00%,10,0,18.52%,0.00%,$479.90,$0.00,10,0
B0CC6CPXQM,B0CC69LJFR,STRADIC 4000XG FM,ST4000XGFM,"1,503",23,0.50%,0.42%,"1,998",35,0.48%,0.45%,21.46%,12.90%,10,0,0.67%,0.00%,"$2,052.93",$0.00,10,0
B01N29NSCJ,B01N29NSCJ,Tsunami TSSPJC-761XH Trophy Slow Pitch Jigging Casting Rods,TSSPJC-761XH,415,12,0.14%,0.22%,582,15,0.14%,0.19%,76.46%,86.67%,11,0,2.65%,0.00%,"$1,199.50",$0.00,9,0
B09489RPWP,B078PT2TF2,Yak Attack Omega Pro Universal Fishing Rod Holder - RHM-1002,RHM-1002,"12,719",228,4.27%,4.12%,"31,829",551,7.69%,7.13%,1.09%,0.00%,11,0,0.09%,0.00%,$439.45,$0.00,9,0
B079VRB13R,B079VRB13R,Van Staal VR50 Spinning Reel | Silver,VR50,790,22,0.27%,0.40%,"1,037",29,0.25%,0.38%,35.68%,34.48%,10,0,1.27%,0.00%,"$5,199.43",$0.00,9,0
B08VF1HFTF,B07CPHPH3S,Tsunami Shield 8000 Spinning Reel,TSSHD8000,555,3,0.19%,0.05%,728,3,0.18%,0.04%,35.62%,50.00%,10,0,1.80%,0.00%,"$1,199.90",$0.00,9,0
B082MSK9CQ,B083V78BZJ,Tsunami TSSTX6000-BK Saltwater Spinning Sealed Reel Black,TSSTX6000-BK,"2,583",39,0.87%,0.71%,"3,703",52,0.89%,0.67%,25.16%,25.81%,10,0,0.39%,0.00%,"$2,999.40",$0.00,9,0
B004E5AKJI,B004E5AKJI,Tsunami Airwave 12' Surf Fishing Rod Heavy Action TSAWSS-1202H,TSAWSS-1202H,678,11,0.23%,0.20%,907,15,0.22%,0.19%,56.56%,93.33%,9,0,1.33%,0.00%,"$1,619.46",$0.00,8,0
B07QGH6T5M,B07QGH6T5M,Tsunami Carbon Shield II TSCSHDII761MH Spinning Rod,TSCSHDII761MH,641,8,0.22%,0.14%,934,9,0.23%,0.12%,52.03%,66.67%,8,0,1.25%,0.00%,"$1,039.92",$0.00,8,0
B084L4X7BK,B07X4B37ND,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Pink Mackerel",MADMACS240-PM,128,6,0.04%,0.11%,166,7,0.04%,0.09%,86.44%,100.00%,9,0,7.03%,0.00%,$509.29,$0.00,8,0
B09RKQGKJM,B07X9WQC1Q,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Hot Pink",DTX220-S-HP,198,3,0.07%,0.05%,236,3,0.06%,0.04%,49.64%,50.00%,12,0,6.06%,0.00%,$599.28,$0.00,8,0
B084LM6MRV,B084KQFSYM,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 260cm - Camo",01.2509.4073,335,3,0.11%,0.05%,426,3,0.10%,0.04%,48.18%,100.00%,8,0,2.39%,0.00%,"$1,159.90",$0.00,8,0
B09XVN64BQ,B09XJ8YZD8,"RIO Products Avid Trout Series - Gold, Floating Fly Line for Trout, WF5F",6-19697,730,8,0.25%,0.14%,941,10,0.23%,0.13%,12.37%,40.00%,8,0,1.10%,0.00%,$526.93,$0.00,8,0
B001449E2G,B001449E2G,"Van Staal 6"" Titanium Pliers Kit with Lanyard and Sheath",FP6000-KIT-FBA,690,28,0.23%,0.51%,850,38,0.21%,0.49%,33.76%,68.42%,8,0,1.16%,0.00%,"$2,736.95",$0.00,7,0
B004CGBD86,B004CGBD86,Hobie - Handle Kayak (Molded) - 76050001,76050,169,4,0.06%,0.07%,242,7,0.06%,0.09%,37.60%,42.86%,14,2,8.28%,50.00%,$293.86,$41.98,7,1
B07KSTGLPK,B013VO8CTC,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Gunmetal, 7/8",5-5506R78G,968,20,0.32%,0.36%,"1,209",28,0.29%,0.36%,12.61%,60.00%,7,0,0.72%,0.00%,$857.62,$0.00,7,0
B071K6TLPL,B071K6TLPL,YakAttack Kayak LeverLoc HD Anchor Trolley,AMS-1004,667,12,0.22%,0.22%,881,13,0.21%,0.17%,28.60%,15.38%,7,0,1.05%,0.00%,$314.65,$0.00,7,0
B084L4X7BK,B07X13D9Q7,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Sardine",MADMACS240-SAR,325,7,0.11%,0.13%,379,7,0.09%,0.09%,48.45%,50.00%,7,0,2.15%,0.00%,$387.52,$0.00,7,0
B0844TM8R3,B0844TM8R3,YakAttack 90 Degree MightyMount Adapter,LNL-1007,187,4,0.06%,0.07%,260,4,0.06%,0.05%,13.85%,0.00%,10,0,5.35%,0.00%,$99.50,$0.00,7,0
B084LM6MRV,B084KHDRL4,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - First Light",01.2509.4075-FBA,379,4,0.13%,0.07%,518,4,0.13%,0.05%,94.87%,100.00%,7,0,1.85%,0.00%,$784.24,$0.00,7,0
